Reference, Quantity, Value, Footprint, Datasheet, JLCPCB, Config, LCSC
C5 C12 ,2,"0.01uF","Capacitor_SMD:C_0805_2012Metric","~","C1710","",""
C13 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric","~","C28323","",""
C14 ,1,"100uF","Capacitor_SMD:C_0805_2012Metric","~"
C2 C15 C16 ,3,"4.7uF","Capacitor_SMD:C_0805_2012Metric","~","C1779","",""
C1 C3 C4 C17 ,4,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~","C49678","",""
C6 C7 ,2,"10pF","Capacitor_SMD:C_0805_2012Metric","~","C1785","",""
C8 ,1,"2.2uF","Capacitor_SMD:C_0805_2012Metric","~","C49217","",""
C9 C10 C11 C18 C19 ,5,"10uF","Capacitor_SMD:C_0805_2012Metric","~","C15850","",""
D1 ,1,"LED2","LED_SMD:LED_0805_2012Metric","~","C2293","",""
D2 ,1,"LED1","LED_SMD:LED_0805_2012Metric","~","C2293","",""
D3 ,1,"B140","Diode_SMD:D_SMB_Handsoldering","~","C134426","",""
D4 ,1," 1N4148","Diode_SMD:D_SOD-123","~","C81598","",""
D5 ,1,"LED3","LED_SMD:LED_0805_2012Metric","~","C2293","",""
D6 ,1,"LED4","LED_SMD:LED_0805_2012Metric","~","C2293","",""
D7 ,1,"LED5","LED_SMD:LED_0805_2012Metric","~","C2293","",""
FID1 FID2 FID3 ,3,"Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~"
J1 ,1,"FTDI_HEADER","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J2 ,1,"PLATED_PADS","index:5-pad-spring-finger-interface","~"
J3 ,1,"SWD_10","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf"
JP2 JP3 ,2,"SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"15uH","Inductor_SMD:L_Taiyo-Yuden_NR-50xx_HandSoldering","~","C44888","",""
M1 ,1,"DRIVE_MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
M2 ,1,"PEEL_MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
R1 R3 R6 R9 R10 R11 R14 ,7,"470R","Resistor_SMD:R_0805_2012Metric","~","C17710","",""
R4 ,1,"1K","Resistor_SMD:R_0805_2012Metric","~","C17513","",""
R5 R8 R12 R13 R15 ,5,"10K","Resistor_SMD:R_0805_2012Metric","~","C17414","-VCNT2020",""
R7 ,1,"52.3K","Resistor_SMD:R_0805_2012Metric","~","C17740","",""
SW1 ,1,"BUTTON_1","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA",""
SW2 ,1,"BUTTON_2","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA",""
SW3 ,1,"RESET","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA",""
U1 ,1,"TCS40DPR","Package_TO_SOT_SMD:SOT-23W","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","C150116","",""
U2 ,1,"VCNT2020","index:VCNT2020","","","+VCNT2020",""
U3 ,1,"MAX3078E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3070E-MAX3079E.pdf","C40031","","C40031"
U4 ,1,"DRV8833PWP","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8833.pdf","C50506","",""
U5 ,1,"AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf","C108785","",""
U6 ,1,"STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","C8734","",""
U7 ,1,"MCP16301","Package_TO_SOT_SMD:SOT-23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/20005004D.pdf","C57168","",""
U8 ,1,"QRE1113","OptoDevice:OnSemi_CASE100CY","http://www.onsemi.com/pub/Collateral/QRE1113-D.PDF","C232862","-VCNT2020",""
Y1 ,1,"8MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~","C57131","",""
